EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted		
Basanite	Amphibole	3	Li			0.098	0.09	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	4	Be			0.14	0.18	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	5	B			0.074	0.05	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	12	Mg			2.02	2.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	13	Al			1.03	0.89	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	15	P			0.019	0.03	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	20	Ca			1.22	1.32	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	21	Sc			1.59	2.86	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	22	Ti			0.72	1.35	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	22	Ti			0.87	1.78	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000		
Basanite	Amphibole	23	V			3.4	5.7	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	24	Cr			7	21	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	27	Co			1.88	2	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	28	Ni			32	18	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	29	Cu			1.1	1.8	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	30	Zn			0.33	0.41	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	31	Ga			0.6	0.68	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	32	Ge			1.61	1.19	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	33	As			0.044	0.02	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	37	Rb			0.26	0.1	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	38	Sr			0.11	0.43	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000		
Basanite	Amphibole	38	Sr			0.24	0.42	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	39	Y			0.01	0.02	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	40	Zr			0.13	0.31	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	41	Nb			0.069	0.21	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	42	Mo			0.0272	0.06	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	47	Ag			3.01	1.45	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	48	Cd			0.29	0.09	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	49	In			1.09	2.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	50	Sn			0.72	0.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	51	Sb			0.016	0.007	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	55	Cs			0.06	0.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	56	Ba			0.19	0.26	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	57	La			0.07	0.17	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000		
Basanite	Amphibole	57	La			0.05	0.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	58	Ce			0.09	0.19	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	60	Nd			0.2	0.37	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	62	Sm			0.37	0.7	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000		
Basanite	Amphibole	62	Sm			0.3	0.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	65	Tb			0.4	0.64	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	67	Ho			0.44	0.73	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000		
Basanite	Amphibole	67	Ho			0.41	0.61	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	69	Tm			0.36	0.51	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	70	Yb			0.27	0.44	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	71	Lu			0.3	0.44	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	71	Lu			0.32	0.48	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000		
Basanite	Amphibole	72	Hf			0.27	0.59	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	73	Ta			0.083	0.24	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	74	W			0.0011	0.0025	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	81	Tl			0.23	0.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	82	Pb			0.07	0.05	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	83	Bi			0.14	0.49	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	90	Th			0.0035	0.009	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite	Amphibole	92	U			0.0039	0.008	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008		
Basanite-Basalt	Amphibole	22	Ti	0.95				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	37	Rb	0.34				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	38	Sr	0.33				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	39	Y	0.6				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	40	Zr	0.25				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	41	Nb	0.08				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	56	Ba	0.46				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Basanite-Basalt	Amphibole	73	Ta	0.09				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	21	Sc	13				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	24	Cr	40				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	27	Co	6.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	30	Zn	1.6				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	37	Rb	0.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	38	Sr	0.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	40	Zr	0.5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	55	Cs	0.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	56	Ba	0.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	57	La	0.31				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	58	Ce	0.53				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	60	Nd	1.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	62	Sm	2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	63	Eu	1.9				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	65	Tb	2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	70	Yb	2.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	71	Lu	2.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	72	Hf	0.54				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	73	Ta	0.59				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Andesite	Amphibole	90	Th	0.16				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	21	Sc	14				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	24	Cr	40				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	27	Co	37				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	30	Zn	2.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	37	Rb	0.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	38	Sr	0.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	40	Zr	0.5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	55	Cs	0.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	56	Ba	0.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	57	La	0.36				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	58	Ce	0.68				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	60	Nd	1.6				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	62	Sm	2.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	63	Eu	3.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	65	Tb	2.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	70	Yb	1.8				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	71	Lu	1.8				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	72	Hf	0.52				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	73	Ta	0.43				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Rhyolite	Amphibole	90	Th	0.16				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000		
Alkali Olivine Basalt	Kaersutite, Amphibole	39	Y	0.873				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	57	La	0.116				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	58	Ce	0.185				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	59	Pr	0.277				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	60	Nd	0.396				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	62	Sm	0.651				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	63	Eu	0.657				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	64	Gd	0.933				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	65	Tb	1				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	66	Dy	0.967				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	67	Ho	1.03				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	68	Er	0.851				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	69	Tm	0.816				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	70	Yb	0.787				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
Alkali Olivine Basalt	Kaersutite, Amphibole	71	Lu	0.698				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
MARID Lamproite	Pargasite, Amphibole	57	La	0.0437				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
MARID Lamproite	Pargasite, Amphibole	58	Ce	0.0709				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
MARID Lamproite	Pargasite, Amphibole	60	Nd	0.123				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
MARID Lamproite	Pargasite, Amphibole	62	Sm	0.158				Experimental	Botazzi et al. 1999	Solid-Melt		08-DEC-2008		
