EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basalt	Plagioclase	3	Li			.367	.678	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	12	Mg			.039	.053	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	19	K			.22	.245	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	21	Sc			.016	.114	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	22	Ti			.039	.123	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	24	Cr			.038	.064	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	25	Mn			.027	.184	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	26	Fe			.023	.665	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	37	Rb			.093	.122	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	38	Sr			1.715	1.568	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	39	Y			.008	.009	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	40	Zr			.003	.009	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	41	Nb			.029	.139	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	55	Cs			.771	1.093	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	56	Ba			.301	.277	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	57	La			.065	.071	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	58	Ce			.049	.045	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	59	Pr			.049	.133	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	60	Nd			.04	.104	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	62	Sm			.044	.065	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	63	Eu			.156	.86	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	64	Gd			.03	.153	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	65	Tb			.029	.102	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	66	Dy			.017	.128	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	67	Ho			.02	.106	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	68	Er			.024	.137	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
Basalt	Plagioclase	69	Tm			.049	.122	Experimental	Aignertorres et al. 2007	Solid-Melt		08-DEC-2008
