EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Per-Aluminous Granite	Apatite	39	Y	162				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	57	La	456				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	58	Ce	569				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	59	Pr	764				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	60	Nd	855				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	62	Sm	1105				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	63	Eu	23.8				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	64	Gd	2133				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	65	Tb	3643				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	66	Dy	3257				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	67	Ho	3143				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Apatite	68	Er	4231				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
