EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Per-Aluminous Granite	Biotite	3	Li	45.4				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	4	Be	15.5				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	21	Sc	42.4				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	23	V	79.5				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	24	Cr	42.3				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	28	Ni	9.66				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	30	Zn	2.8				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	37	Rb	6.98				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	38	Sr	0.01				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	39	Y	0.1				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	41	Nb	24.5				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	42	Mo	1.58				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	55	Cs	26.8				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	56	Ba	0.59				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	57	La	0.06				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	58	Ce	0.05				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	59	Pr	0.07				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	60	Nd	0.08				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	62	Sm	0.06				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	63	Eu	0.05				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	64	Gd	0.1				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	65	Tb	0.18				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	66	Dy	0.17				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	67	Ho	0.16				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	68	Er	0.22				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	69	Tm	0.22				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	70	Yb	0.12				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	71	Lu	0.2				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	73	Ta	29.1				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	81	Tl	8.6				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	82	Pb	0.04				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	90	Th	0.01				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Biotite	92	U	0.26				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	25	Mn	7.47				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	26	Fe	25.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	28	Ni	23.9				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	29	Cu				1.2	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	30	Zn	16.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	31	Ga	4.2				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	32	Ge				2	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	37	Rb	5.27				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	38	Sr	0.31				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	39	Y	0.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	40	Zr	0.59				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	41	Nb			7.5		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	56	Ba	13.9				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	82	Pb	0.89				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	25	Mn	15.5				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	26	Fe	59.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	29	Cu	20.3				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	30	Zn	31.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	31	Ga	3.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	32	Ge				4.3	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	37	Rb	9.6				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	38	Sr	7.2				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	39	Y	2.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	40	Zr	0.47				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	41	Nb	9.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	82	Pb	2.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	25	Mn	5.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	26	Fe	22.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	28	Ni			15.1		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	29	Cu	72.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	30	Zn	11.4				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	31	Ga	1.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	32	Ge				1.5	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Biotite	37	Rb	2.46				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
