EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Synthetic CATS, Doped	Ca_Perovskite	3	Li			.045	.052	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	11	Na			1.1	.42	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	12	Mg			.11	.1	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	13	Al			.5	.05	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	14	Si			.015	.01	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	19	K				.05	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	21	Sc			.3	.064	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	37	Rb			.05	.002	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	38	Sr			.74	.76	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	39	Y			.38	1.75	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	40	Zr			.48	.07	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	41	Nb			1.89	1.25	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	55	Cs			.025		Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	56	Ba			.04	.015	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	57	La			1.9	4.4	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	58	Ce			2.2	5.9	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	59	Pr			2.3	6.5	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	62	Sm			1.71	5.5	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	70	Yb			.24	1.06	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	72	Hf			1.1	.14	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	73	Ta			5.3	3.6	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	90	Th			1.22	7.6	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CATS, Doped	Ca_Perovskite	92	U			.097	1.57	Experimental	Corgne & Wood 2005	Solid-Liquid		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	3	Li			.05	.16	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	11	Na			.32	.32	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	12	Mg			.09	.11	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	13	Al				1.2	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	15	P			.2	.8	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	19	K			.1	.38	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	20	Ca			2.2	5.3	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	21	Sc			1.25	2.2	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	22	Ti			1.1	1.1	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	24	Cr			.31		Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	25	Mn			.18	.37	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	26	Fe			.12		Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	27	Co			.14	.2	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	28	Ni			.33	.2	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	31	Ga			.18	.3	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	32	Ge			1.5	1.3	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	37	Rb			.23	.4	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
Synthetic CMAST	Ca_Perovskite	38	Sr			1.29	1.7	Experimental	Corgne et al. 2005	Solid-Melt		08-DEC-2008
