NON-GERM DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	27	Co	3.1				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	24	Cr	12				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	28	Ni	2.5				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	21	Sc	68				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	29	Cu	0.33				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	30	Zn	0.45				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	3	Li	0.16				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	38	Sr	2.6				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	32	Ge	124				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
Peralkaline rhyolite BL210b, Olkaria Volcanic Complex	Chevkinite	41	Nb	79				Phenocryst-Matrix	Marshall et al. 2009, doi.org/10.1093/petrology/egp001	Solid-Melt	CBK addition	1-JUN-2025	74	5
