EarthRef.org -- GERM Partition Coefficient (Kd) Database												
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen												
												
DATA:												
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basanite	Clinopyroxene	3	Li			0.27	0.14	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	4	Be			0.07	0.1	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	5	B			0.02	0.17	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	12	Mg			2.11	2.14	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	13	Al			0.58	0.32	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	15	P			0.02	0.018	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	20	Ca			2.38	2.31	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	21	Sc			1.63	3.62	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	22	Ti			0.19	0.46	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	23	V			4.83	5.7	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	24	Cr			8.49	26	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	27	Co			1.65	1.1	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	28	Ni			8.5	10	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	29	Cu			0.47	1.5	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	30	Zn			0.69	0.25	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	31	Ga			0.77	0.34	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	32	Ge			3.27	1.52	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	33	As			0.31	0.0075	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	37	Rb				0.00008	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	38	Sr			0.104	0.113	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	39	Y			0.34	0.51	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	40	Zr			0.06	0.2	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	41	Nb			0.0012	0.005	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	42	Mo			0.016	0.012	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	47	Ag			0.035	0.07	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	48	Cd			0.53	0.71	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	49	In			3.33	1.02	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	50	Sn			1	0.037	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	51	Sb				0.0044	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	55	Cs			0.0002	0.00007	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	56	Ba			0.0003	0.00015	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	57	La			0.03	0.07	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	58	Ce			0.057	0.12	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	60	Nd			0.13	0.27	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	62	Sm			0.22	0.42	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	65	Tb			0.33	0.56	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	67	Ho			0.35	0.55	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	69	Tm			0.33	0.48	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	70	Yb			0.25	0.47	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	71	Lu			0.31	0.43	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Clinopyroxene	72	Hf			0.12	0.42	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
