EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basanite	Garnet	3	Li			.041	.035	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	4	Be				.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	5	B			.006	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	12	Mg			1.88	2.32	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	13	Al			1.97	2.01	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	15	P			.034	.03	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	20	Ca			.87	.91	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	21	Sc			4.01	5.79	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	22	Ti			.2	.15	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	23	V			1.92	1.93	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	24	Cr			8.1	36	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	27	Co			3.7	3.7	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	28	Ni			4.93	8.78	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	29	Cu			.69	.41	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	30	Zn			1.61	1.63	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	31	Ga			1.02	1	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	32	Ge				.55	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	33	As			.18	.13	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	37	Rb			.0003	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	38	Sr			.0005	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	39	Y			.19	.267	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	40	Zr			.14	.09	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	41	Nb			.001	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	42	Mo			.003	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	47	Ag			.22	.07	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	48	Cd			1.5	2.164	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	49	In			10.3	87	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	50	Sn			.86	.5	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	51	Sb				10	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	55	Cs			.0001	.001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	56	Ba			.0002	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	57	La			.0005	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	58	Ce			.0027	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	60	Nd			.028	.02	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	62	Sm			.17	.12	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	65	Tb			1.18	1	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	67	Ho			2.66	2.75	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	69	Tm			4.24	5.26	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	70	Yb			5	6.25	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	71	Lu			5.5	8.03	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	72	Hf			.11	.06	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	73	Ta			.0017	.0022	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	74	W			.0007	.0021	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	81	Tl					Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Garnet	82	Pb			.02		Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
