EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Leucitite	Leucite	25	Mn				.0069	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	26	Fe	.018				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	28	Ni	.28				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	29	Cu	.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	30	Zn	.03				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	31	Ga	.42				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	32	Ge			.8		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	37	Rb	7.3				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	38	Sr	.0059				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	39	Y				.035	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	40	Zr	.36				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	41	Nb	.079				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	56	Ba	.23				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	82	Pb	.09				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	90	Th	.23				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Leucitite	Leucite	92	U	.58				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000
Lamproite	Leucite	21	Sc	.072				Phenocryst-Matrix	Foley & Jenner 2004	Solid-Melt		08-DEC-2008
