EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Rhyolite	Magnetite	21	Sc	5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	24	Cr	30				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	27	Co	80				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	30	Zn	15				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	37	Rb	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	38	Sr	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	40	Zr	.24				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	55	Cs	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	56	Ba	.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	57	La	.66				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	58	Ce	.71				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	60	Nd	.93				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	62	Sm	1.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	63	Eu	.91				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Rhyolite	Magnetite	65	Tb	1.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
