EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basanite	Olivine	3	Li			.29	.42	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	4	Be			.003		Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	5	B			.02	.18	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	12	Mg			.001	.001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	13	Al			.002	.006	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	15	P			.038	.05	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	20	Ca			.007	.02	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	21	Sc			.22	.32	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	22	Ti			.011	.015	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	23	V			.15	.23	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	24	Cr			.64	1.3	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	27	Co			4	6.6	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	28	Ni			32	47	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	29	Cu			1.19	4.1	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	30	Zn			.88	1.4	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	31	Ga			.005	.012	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	32	Ge			.95		Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	33	As			.002	.009	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	37	Rb			.0004	.0004	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	38	Sr			.00002	.001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	39	Y			0	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	40	Zr			.001	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	41	Nb			.00007	.00007	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	42	Mo			.001	.0007	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	47	Ag			.001	.008	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	48	Cd			.03	.04	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	49	In			.09	.2	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	50	Sn			.002	.014	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	51	Sb			.0004	.0001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	55	Cs			.0002	.0002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	56	Ba			.0001	.0001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	57	La			.0001	.0001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	58	Ce			.0001	.001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	60	Nd			.0005	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	62	Sm			.001	.002	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	65	Tb			.001	.004	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	67	Ho			.0031	.009	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	69	Tm			.0091	.018	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	70	Yb			.05	.05	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	71	Lu			.024	.041	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	72	Hf			.0008	.004	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	73	Ta			.0002	.0004	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	74	W			.0003	.0001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	81	Tl			.01		Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	82	Pb			.001	.001	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	83	Bi			.0024		Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	90	Th			.0002	.0003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Olivine	92	U			.0003	.0003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
