EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Per-Aluminous Granite	K-Feldspar	3	Li	1.82		1.82		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	4	Be	3.05		3.05		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	21	Sc	1.25		1.25		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	23	V	0.22		0.22		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	24	Cr	1.15		1.15		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	28	Ni	0.25		0.25		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	29	Cu	0.32		0.32		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	30	Zn	0.11		0.11		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	37	Rb	2.85		2.85		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	38	Sr	0.77		0.77		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	39	Y	0.5		0.5		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	41	Nb	0.27		0.27		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	42	Mo	1.77		1.77		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	55	Cs	4.2		4.2		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	56	Ba	3.77		3.77		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	57	La	1.01		1.01		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	58	Ce	0.86		0.86		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	59	Pr	0.87		0.87		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	60	Nd	0.51		0.51		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	62	Sm	0.42		0.42		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	63	Eu	2.32		2.32		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	64	Gd	0.6		0.6		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	65	Tb	0.92		0.92		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	66	Dy	0.77		0.77		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	67	Ho	0.88		0.88		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	68	Er	1.14		1.14		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	69	Tm	1.12		1.12		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	70	Yb	0.64		0.64		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	71	Lu	0.96		0.96		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	73	Ta	0.49		0.49		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	81	Tl	3.67		3.67		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	82	Pb	1.46		1.46		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	K-Feldspar	90	Th	0.3		0.3		Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	25	Mn			0.094	0.26	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	26	Fe			0.085	0.19	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	28	Ni			0.18	2.7	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	29	Cu			0.41	2.6	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	30	Zn			0.055	0.23	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	31	Ga			0.2	1.7	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	32	Ge			0.24	1.8	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	37	Rb			0.11	0.72	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	38	Sr			2.11	22.1	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	39	Y			0.015	0.067	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	40	Zr			0.005	0.21	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	41	Nb			0.039	0.16	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	56	Ba			2.7	20.9	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	K-Feldspar	82	Pb			0.1	1.4	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	25	Mn			0.028	0.2	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	26	Fe			0.046	0.19	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	28	Ni			1.1	1.9	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	29	Cu			0.24	2.4	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	30	Zn			0.042	0.15	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	31	Ga			0.45	2	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	32	Ge			0.6	2.3	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	33	As			0.11	0.41	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	37	Rb			0.21	0.62	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	38	Sr			1.48	8.4	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	39	Y			0.017	0.086	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	40	Zr			0.018	0.069	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	41	Nb			0.01	0.15	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	56	Ba			1.7	17	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	K-Feldspar	82	Pb			0.12	0.83	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	25	Mn			0.039	0.085	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	26	Fe			0.12	0.18	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	28	Ni			0.51	1.3	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	29	Cu			0.45	1	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	30	Zn			0.041	0.061	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	31	Ga			0.91	2.02	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	32	Ge			0.68	1.6	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	37	Rb			0.19	0.26	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	38	Sr			1.6	1.68	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	39	Y			0.021	0.028	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	40	Zr			0.003	0.036	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	41	Nb			3.4	4.8	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
