EarthRef.org -- GERM Partition Coefficient (Kd) Database												
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen												
												
DATA:												
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basanite	Orthopyroxene	3	Li	0.28	0.02			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	4	Be	0.06	0.02			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	5	B				0.0003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	12	Mg	3.4	0.12			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	13	Al	0.43	0.02			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	15	P	0.007	0.002			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	20	Ca	0.19	0			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	21	Sc	0.64	0			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	22	Ti	0.1	0			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	23	V	1.65	0.06			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	24	Cr	7.78	0.65			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	27	Co	2.06	0.08			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	28	Ni	11.3	1.7			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	29	Cu	2.8	0			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	30	Zn	0.66	0.03			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	31	Ga	0.38	0.02			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	32	Ge	1.36	0.07			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	33	As				0.006	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	37	Rb	0.0038	0.0004			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	38	Sr	0.0019	0.0001			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	39	Y	0.046	0.003			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	40	Zr	0.0099	0.0005			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	41	Nb	0.0007	0.0001			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	42	Mo	0.0039	0.0003			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	47	Ag				0.008	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	48	Cd	0.48	0.08			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Orthopyroxene	49	In	0.24	0.01			Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
