EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Kimberlite	Phlogopite	40	Zr	.2806				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	57	La	.0413				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	58	Ce	.0455				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	60	Nd	.0293				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	62	Sm	.0255				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	63	Eu	.0218				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	64	Gd	.0205				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	66	Dy	.0281				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	68	Er	.0303				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	70	Yb	.0484				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	71	Lu	.0471				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Kimberlite	Phlogopite	72	Hf	.2703				Phenocryst-Matrix	Fujimaki et al. 1984	Solid-Melt		12-DEC-2000
Basanite-Basalt	Phlogopite	38	Sr	.21	.027			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	39	Y	.018	.0019			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	40	Zr	.008	.0001			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	41	Nb	.021	.0012			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	56	Ba	3.3	.49			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	57	La	.007	.0004			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	62	Sm	.0017	.0009			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	72	Hf	.091	.0046			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Basanite-Basalt	Phlogopite	73	Ta	.11	.005			Experimental	Green et al. 2000	Solid-Melt		08-DEC-2008
Lamproite	Phlogopite	3	Li			.169	.46	Experimental	Schmidt et al. 1999	Solid-Melt		08-DEC-2008
Lamproite	Phlogopite	22	Ti			.87	143	Experimental	Schmidt et al. 1999	Solid-Melt		08-DEC-2008
Lamproite	Phlogopite	24	Cr			1.23	1.44	Experimental	Schmidt et al. 1999	Solid-Melt		08-DEC-2008
Lamproite	Phlogopite	37	Rb			.0155	.058	Experimental	Schmidt et al. 1999	Solid-Melt		08-DEC-2008
