EarthRef.org -- GERM Partition Coefficient (Kd) Database
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen

DATA:
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basalt	Whitlockite	90	Th			1.26	1.4	Experimental	Benjamin et al. 1978	Solid-Melt		12-DEC-2000
Basalt	Whitlockite	92	U			.36	.67	Experimental	Benjamin et al. 1978	Solid-Melt		12-DEC-2000
Di-Ab-An	Whitlockite	90	Th	2.13				Experimental	Seitz 1973	Solid-Melt		12-DEC-2000
Haplobasalt, Basalt	Whitlockite	90	Th			1.28	1.38	Experimental	Benjamin et al. 1978	Solid-Melt		12-DEC-2000
Haplobasalt, Basalt	Whitlockite	92	U			.0025	.54	Experimental	Benjamin et al. 1978	Solid-Melt		12-DEC-2000
Synthetic Di-Ab-An-Ap	Whitlocite	11	Na			.181	.32	Experimental	Benjamin et al. 1983	Solid-Melt		08-DEC-2008
Synthetic Di-Ab-An-Ap	Whitlocite	12	Mg			.52	.56	Experimental	Benjamin et al. 1983	Solid-Melt		08-DEC-2008
Synthetic Di-Ab-An-Ap	Whitlocite	14	Si			.0069	.0124	Experimental	Benjamin et al. 1983	Solid-Melt		08-DEC-2008
Synthetic Di-Ab-An-Ap	Whitlocite	90	Th			1.2	1.3	Experimental	Benjamin et al. 1983	Solid-Melt		08-DEC-2008
Synthetic Di-Ab-An-Ap	Whitlocite	92	U			.48	.58	Experimental	Benjamin et al. 1983	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	21	Sc					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	22	Ti					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	37	Rb					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	38	Sr					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	39	Y					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	40	Zr					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	41	Nb					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	56	Ba					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	57	La	4.32				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	58	Ce	4.69				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	59	Pr	4.8				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	60	Nd	4.11				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	62	Sm	3.27				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	63	Eu	2.83				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	64	Gd	2.95				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	65	Tb	2.78				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	66	Dy	2.07				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	67	Ho	1.577				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	68	Er	1.321				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	69	Tm	.997				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	70	Yb	1.095				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	71	Lu	1.008				Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	90	Th					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008
Chondritic Basalt	Merrillite	92	U					Experimental	Lofgren et al. 2006	Solid-Melt		08-DEC-2008

LINKS TO REFERENCES:
Benjamin et al. 1978 - https://earthref.org/cgi-bin/err.cgi?n=252
Seitz 1973 - https://earthref.org/cgi-bin/err.cgi?n=246
Benjamin et al. 1983 - https://earthref.org/cgi-bin/err.cgi?n=263
Lofgren et al. 2006 - https://earthref.org/cgi-bin/err.cgi?n=99699


ACKNOWLEDGEMENTS:
Sponsored by NSF -- EAR 0000998
Supported by the San Diego SuperComputer Center

DATABASE STATISTICS:
EarthRef.org Database Version: 
Search Time: 05 January 2021 07:25:22 AM

LINKS TO EARTHREF.ORG:
Original search form - https://earthref.org/cgi-bin/kdd-s0-main.cgi
Search results - http://earthref.org/cgi-bin/kdd-s1-advanced.cgi?database_name=kdd&search_start=main&term=&term=&term=&term_type=mineral&term_type=mineral&term_type=element&conjunction=AND&conjunction=AND&rock_type=Any%20Rock%20Type&mineral=Whitlockite&element_family=Any%20Element%20Family&er_citation_id=Any%20Reference&sort=rock_type

SEARCH VALUES:
Search Term(s):  
Rock Type: Any Rock Type
Mineral: Whitlockite
Element Family: Any Element Family
Reference: Benjamin et al. 1978
Sort by: Rock Type

</body></html>
