EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Per-Aluminous Granite	Zircon	39	Y	71.4				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	65	Tb	24.8				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	66	Dy	38.8				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	67	Ho	74.5				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	68	Er	165				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	69	Tm	282				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	70	Yb	278				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	71	Lu	923				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	90	Th	22.1				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Granite	Zircon	92	U	254				Phenocryst-Matrix	Bea et al. 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Zircon	66	Dy			31.4	63.4	Phenocryst-Matrix	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Zircon	68	Er			64.6	135	Phenocryst-Matrix	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Zircon	70	Yb			128	254	Phenocryst-Matrix	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Zircon	71	Lu			196	333	Phenocryst-Matrix	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Zircon	72	Hf			958	997	Phenocryst-Matrix	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Zircon	66	Dy	44.9				Experimental	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Zircon	68	Er	107				Experimental	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Zircon	70	Yb	516				Experimental	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Zircon	71	Lu	689				Experimental	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Zircon	72	Hf	971				Experimental	Fujimaki 1986	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	21	Sc			60.3	77	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	24	Cr			119	260	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	25	Mn			1.26	1.78	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	27	Co			9	23	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	65	Tb	37				Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	66	Dy			95	108	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	70	Yb			490	564	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	71	Lu			635	648	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Zircon	72	Hf			2645	3742	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Zircon	66	Dy			37.8	53.5	Phenocryst-Matrix	Nagasawa 1970	Solid-Melt		12-DEC-2000	NaN	NaN
