Material	Rock_Group	Rock_Subgroup	Rock_Composition	Rock_Facies	Rock_Texture	Rock_Name
xenolith						xenolit
			felsic			leuco
			mafic			melano
			silica			siliceous
	igneous					igneous
	igneous				megacrystic	megacryst
	igneous				porphyritic	porph
	igneous		felsic			felsic
	igneous		felsic			silicic
	igneous		felsic			acid
	igneous		felsic			ttg
	igneous		intermediate			intermediate
	igneous		mafic			mafic
	igneous		mafic			basic
	igneous		ultramafic			ultramafi
	igneous		ultramafic			ultrabasic
	igneous		peralkaline			peralkaline
	igneous		peralkaline			foid
	igneous		peralkaline			feldspathoid
	igneous		peralkaline			nephelin
	igneous		peralkaline			ultrapotassic
	igneous		alkaline			alkaline
	igneous	volcanic		lava		lava
	igneous	volcanic		lava		flow
	igneous	volcanic		lava	eutaxitic	eutaxite
	igneous	volcanic		tuff		tuff
	igneous	volcanic		tuff		pyrocl
	igneous	volcanic		tephra		ash
	igneous	volcanic		tephra		lapilli
	igneous	volcanic		tephra		bomb
	igneous	volcanic		tephra		cinder
	igneous	volcanic		tephra		tephra
	igneous	volcanic		tephra		pumice
	igneous	volcanic		tephra		ejecta
	igneous	volcanic				spatter
	igneous	volcanic		glass		glass
	igneous	volcanic		glass		hyaloclastite
	igneous	volcanic	alkaline	diatreme		pipe
	igneous	volcanic	alkaline	diatreme		diatreme
	igneous	volcanic			porphyritic	vitrophyr
	igneous	plutonic		hypabyssal	granophyric	granophyr
	igneous	plutonic		hypabyssal	porphyritic	porphyry
	igneous	plutonic		hypabyssal		hypabyssal
plug	igneous	plutonic		hypabyssal		plug
dike	igneous	plutonic		hypabyssal		cone sheet
sill	igneous	plutonic				sill
dike	igneous	plutonic				dike
dike	igneous	plutonic				dyke
	igneous	plutonic				chilled margin
	igneous	plutonic				plut
stock	igneous	plutonic				stock
	igneous	plutonic				lopolith
	igneous	plutonic				laccolith
	igneous	plutonic				batholith
	igneous	plutonic				intrus
	igneous	plutonic				intrusive breccia
	igneous	plutonic			cumulate	cumulat
enclave	igneous	plutonic				enclave
	igneous	volcanic				volc
	igneous	volcanic				extrus
	igneous	volcanic				caldera
	igneous	volcaniclastic				bentonite
	igneous	volcaniclastic				tonstein
	igneous	volcaniclastic				peperite
	igneous	volcaniclastic				volcaniclastic
	igneous	volcaniclastic				lahar
	igneous	volcanic	felsic			rhyolit
	igneous	volcanic	felsic			liparite
	igneous	volcanic	felsic			rhyodacite
	igneous	volcanic	felsic			toscanite
	igneous	volcanic	felsic			dellenite
	igneous	volcanic	felsic			lenticulite
	igneous	volcanic	felsic	glass		obsidian
	igneous	volcanic	felsic	glass		perlite
	igneous	volcanic	felsic	tuff		ignimbrite
	igneous	volcanic	felsic	tephra		fiamme
	igneous	volcanic	felsic			dacit
	igneous	volcanic	felsic			santorinite
	igneous	volcanic	intermediate			andesit
	igneous	volcanic	intermediate			boninit
	igneous	volcanic	intermediate			icelandite
	igneous	volcanic	intermediate			marianite
	igneous	volcanic	intermediate			adakit
	igneous	volcanic	intermediate			latit
	igneous	volcanic	intermediate			vulsinit
	igneous	volcanic	mafic			mafite
	igneous	volcanic	mafic			basite
	igneous	volcanic	mafic			basalt
	igneous	volcanic	mafic			tholeiit
	igneous	volcanic	mafic			pitchstone
	igneous	volcanic	mafic			picrite
	igneous	volcanic	mafic			anamesite
	igneous	volcanic	mafic			hawaiite
	igneous	volcanic	mafic			mugearite
	igneous	volcanic	mafic			oceanite
	igneous	volcanic	mafic		porphyritic	melaphyre
	igneous	volcanic	mafic	pillow		pillow
	igneous	volcanic	mafic	tephra		scoria
	igneous	volcanic	mafic	glass		tachylite
	igneous	volcanic	mafic	lava		pahoehoe
	igneous	volcanic	ultramafic			ultramafite
	igneous	volcanic	ultramafic		spinifex	komatiit
	igneous	volcanic	ultramafic		spinifex	spinifex
	igneous	volcanic	ultramafic			meimechite
	igneous	volcanic	ultramafic			ultramafitite
	igneous	volcanic	alkaline			absarokite
	igneous	volcanic	peralkaline			alnoit
	igneous	volcanic	peralkaline			analcimite
	igneous	volcanic	peralkaline			ankaratrite
	igneous	volcanic	alkaline			arsoite
	igneous	volcanic	alkaline			augitite
	igneous	volcanic	alkaline			banakite
	igneous	volcanic	peralkaline			benmoreite
